10000 50000
8910 3739 4
1397 9542 4
9505 591 9
3524 6253 8
5137 8249 1
4091 610 7
2088 6939 4
5903 342 6
2112 8326 5
2545 8643 8
7940 3905 7
7705 1655 9
468 1160 3
5238 1036 6
1208 2525 7
9188 6617 7
2475 5057 8
6100 960 2
9305 9424 8
1561 8321 4
8398 6261 9
5326 3967 6
5445 787 9
8859 6026 5
8526 3586 1
6443 2774 10
1321 1601 7
9491 7701 9
8002 3358 3
4840 1272 4
6673 6022 7
8763 1349 4
8861 3146 4
119 2005 2
2413 6883 8
3585 3326 4
1374 1000 6
572 491 9
730 8493 8
312 9685 10
4567 2710 4
5084 7826 3
5919 6687 9
3894 3158 6
7895 1923 2
1834 5509 10
8548 3235 10
3215 3808 3
1935 890 7
7662 7555 4
1013 2122 7
6739 3558 3
7461 5830 2
7682 9724 10
6259 7620 3
1720 5806 4
6860 706 2
2999 3921 2
5982 5857 2
3810 9871 7
7675 7237 2
4251 3976 10
5005 7789 10
2446 5471 7
9397 1731 7
8272 3451 5
9007 311 2
2978 9663 3
7109 1997 2
2131 5807 6
1059 9834 5
2110 4086 3
3072 9091 2
9863 7890 6
6379 3639 9
6867 1911 2
3162 7271 6
163 249 9
7437 7359 6
6921 5842 5
6276 3253 9
5572 1716 7
5196 4788 9
6257 1003 1
5494 3735 10
6462 602 4
7234 3764 5
4669 279 4
8119 7717 5
3566 4638 9
1172 7266 5
2260 2838 1
139 8034 1
7109 643 4
1969 2490 9
6820 5304 4
3583 8890 10
3969 9911 10
4605 8030 9
8951 7948 7
9140 9120 5
8934 7733 5
6796 7872 1
9446 4981 4
9451 3302 6
3192 122 1
3887 58 3
8346 4027 5
3085 4984 7
8245 3936 6
1691 3076 8
8755 8362 1
1361 1510 5
2001 956 8
9637 6759 10
9762 6303 5
1544 190 3
2217 8537 2
2801 7974 7
4119 6220 3
3386 4263 1
1774 9371 5
7894 732 5
4591 2734 3
6268 2371 4
1248 8485 8
2702 30 8
566 2247 7
8809 1400 4
5685 5519 4
2849 8906 7
9441 7032 10
4395 1278 3
7211 5869 9
7335 2138 10
4219 9738 5
7406 8792 7
7135 9358 4
1754 8167 6
4347 205 8
3160 9406 4
2588 8848 8
7740 9595 6
7272 6807 6
5890 4142 6
3231 4713 4
9057 2119 6
4914 5607 4
9369 7361 3
5225 8060 10
2952 7572 9
5937 160 7
5954 4252 4
7249 1524 1
766 3766 6
6421 3349 9
1814 2407 1
5999 7321 10
5894 6690 3
309 8267 3
1280 1219 5
1658 3508 7
7236 9462 10
2410 3064 6
742 182 3
9569 6604 4
6758 4770 1
8770 7122 4
6389 3016 7
7721 9677 4
3465 7310 6
6781 8968 4
257 2557 9
4338 1319 5
9944 2061 7
5668 1631 3
683 2574 2
7805 7727 3
7173 2275 4
3203 5091 1
513 9126 2
5833 3021 9
4742 2731 10
6061 1857 4
8123 1166 4
6106 7078 7
847 4113 1
710 8270 1
6962 5444 6
7287 4999 7
7429 5512 5
8000 7697 9
5180 2440 2
6699 8501 2
4514 2976 8
7997 9082 6
2574 6281 2
6076 3343 2
7306 6657 6
812 3944 7
5760 7725 9
6187 5725 7
5987 906 9
4870 3957 10
5611 8472 7
7518 2821 1
2856 5395 5
2307 1472 10
28 5130 8
9546 2294 4
4062 4407 10
443 594 7
4521 2933 3
1039 7803 1
2410 3415 5
406 7285 6
189 141 4
2605 2448 8
8364 8829 8
7133 8375 3
6199 2437 10
6638 9232 6
9154 3753 9
8929 4792 4
2661 7203 9
4865 3961 5
6242 502 8
3015 9459 7
3964 4176 6
3692 1309 3
2066 7508 2
8495 498 5
1870 6005 8
4530 4934 3
4993 3947 8
5224 8812 9
2740 1406 4
397 774 3
6855 4738 9
2142 8430 1
5804 496 1
4608 5343 10
6292 3565 5
8081 8095 1
1015 9441 8
1152 1017 2
1603 3757 8
2556 506 2
9320 3714 3
3909 5856 3
2511 8013 2
8621 2621 5
1582 5265 1
548 3346 8
4448 4362 1
8647 1866 8
1658 3469 7
2428 6025 6
3971 5346 10
253 5607 6
1318 8118 1
2879 3091 2
9783 4674 9
6605 5222 6
7875 6023 10
8585 4670 6
313 2681 8
8501 1461 3
7196 5432 1
5957 2038 10
575 3356 10
3205 2587 2
4809 2370 8
1677 5328 10
8244 3203 3
9173 1788 6
8321 8453 7
938 3307 8
5932 6855 2
2625 2813 10
4924 3388 6
8046 2945 3
7907 7754 6
8794 9432 6
1255 7676 1
9740 3202 9
2895 1523 5
8731 8813 4
6028 1097 9
5109 3722 4
2581 4999 4
3408 9397 10
471 3656 4
2608 8802 8
73 57 7
7093 9797 9
2253 2692 4
2219 7775 9
1844 155 6
1973 1617 1
7618 4198 2
6652 7606 9
4983 4429 5
1068 3389 7
6586 9814 6
6132 3259 4
5232 1865 8
5855 4084 6
7995 2281 1
1232 4254 8
8192 8224 8
2855 1228 7
6915 6211 6
8279 7280 6
4797 218 10
1373 2702 2
4098 7934 7
5867 141 1
5412 4488 2
1465 5720 8
9134 3913 5
1002 3120 3
3180 36 5
3435 8315 7
3432 9465 5
3244 7190 9
6315 7640 3
1251 3507 6
6623 5272 4
4277 6737 4
2536 5871 9
9020 3225 10
3085 6405 6
7009 6193 3
917 9625 10
8691 9221 10
5519 1888 2
6633 9491 10
4240 6115 4
6335 6744 1
4150 9280 4
5879 4653 10
7080 4090 7
8317 1099 10
4221 8368 8
9591 3411 9
8502 5282 8
5054 1915 1
1465 2507 6
3148 8842 2
1568 2992 3
2211 5223 8
2432 8655 8
9059 6972 9
1878 1194 7
675 7137 10
5046 5639 2
1305 7045 9
7055 8510 6
5273 1658 10
234 9578 4
828 8142 8
6075 6926 5
1764 5985 8
4904 4216 4
6412 1243 1
1331 2641 2
1532 3946 8
0 7354 10
7327 2627 9
9848 9213 9
5362 42 1
2451 2469 8
8195 4234 5
7264 5490 1
7527 1903 7
4927 3234 8
671 1119 5
7108 7471 1
4759 1151 8
7717 999 3
2958 2713 5
9988 5164 5
297 9712 1
6592 6976 3
3454 4504 6
1560 5783 3
8660 6454 2
3354 9914 5
8106 4674 6
5485 8743 8
2077 1701 1
8712 8042 8
4168 4691 10
210 1283 6
1742 1090 10
5178 9002 6
8200 7662 10
8693 7368 7
3009 5474 1
8477 959 6
1296 3037 10
476 8101 2
1173 2269 3
7934 2479 9
5320 4221 1
3561 5751 3
7586 303 6
4418 5348 6
1164 8358 1
8936 3187 2
5451 4483 1
6372 4959 2
8983 2485 1
2638 6771 2
3928 8443 6
6308 2005 7
7690 5943 1
3087 6713 9
2205 7877 9
445 3165 6
2348 4969 9
7289 1341 1
330 6677 8
1993 9315 9
6134 3243 3
849 5903 8
7668 9945 3
8438 9385 7
908 1590 6
1737 8387 2
5752 735 1
603 8024 4
413 8355 1
9060 348 8
4478 2834 3
8340 36 6
559 7704 4
5074 2494 9
6302 9754 9
5407 1491 6
4030 3596 1
7622 4199 6
2556 964 3
518 24 3
7796 854 7
4668 5547 5
3796 2458 1
2869 3884 7
1327 186 2
7727 5594 3
2514 9624 1
1684 7247 10
5231 6155 6
3485 6673 2
2087 4469 9
9876 5490 6
7700 9286 6
5933 2155 1
6659 9834 7
7140 7561 3
5465 75 8
7385 8111 7
9857 9695 2
3292 3180 5
