15000 75000
216 960 7
6660 2423 3
2283 8867 3
13708 4345 8
137 5108 2
6896 4620 1
764 11328 8
6987 2152 1
8981 4384 8
634 781 6
6364 997 9
4521 14009 2
11175 1293 9
5949 6353 6
10517 6490 4
13050 4738 7
11500 11854 5
3517 3842 9
1168 4175 3
12297 11161 5
3845 8877 4
11353 13398 4
12636 925 9
1434 13227 2
7281 96 4
11884 13146 2
12460 9646 9
716 13163 1
6124 5683 8
917 2981 9
2843 6826 6
5766 9531 7
14051 7167 4
8629 14953 1
9560 7234 9
8333 10470 5
3197 14283 1
1267 14999 7
11827 12476 2
9266 4745 5
2866 7588 3
5343 4706 4
12571 3758 1
5725 3739 4
3457 13300 10
1286 12985 1
3612 7534 4
9233 8801 5
10721 11980 1
9244 12598 8
10749 464 6
10431 12160 5
4645 9731 5
12377 456 4
13711 10266 6
4982 2904 4
372 6516 8
1397 7101 2
8774 2822 4
13626 12067 5
8224 14168 1
1761 9599 1
5 5596 3
8359 2974 1
5453 8037 7
7198 13019 1
4633 4744 10
9603 12493 1
14726 6267 6
1829 4894 5
14235 4470 3
12106 6231 2
7136 6237 9
11898 5948 5
8469 11401 2
6657 9952 1
7750 14585 7
359 540 1
69 266 8
8954 8448 4
6258 7683 4
2730 4789 6
154 11926 5
3174 176 3
9168 14997 7
8199 6655 1
11601 5757 8
11100 6116 9
1740 6185 5
4999 6492 3
13153 4102 7
2128 13185 8
5983 13339 6
7427 7865 3
6172 2033 2
1318 1584 7
12768 4537 6
6507 6989 2
9435 8729 10
12630 13729 4
624 3234 6
4950 5362 1
11770 2698 2
515 1477 7
10789 7649 2
6061 319 8
14339 4439 8
13375 10947 7
3526 11734 7
12567 9364 8
13100 1341 4
2736 12643 8
5556 9413 6
13068 9929 4
4796 12070 5
13558 3131 7
6607 2471 6
4194 7198 5
8771 10724 10
13429 14644 6
8168 12744 7
6141 480 1
828 12389 6
4566 1809 7
9781 12957 8
13997 11515 9
3533 3123 2
3861 13669 10
135 7440 7
8144 12221 1
8222 5389 7
3288 2882 10
2350 10063 9
10826 14629 10
11934 9410 7
3761 8407 5
5072 3293 10
205 7154 9
11185 7289 2
593 6786 5
4645 6360 5
6441 1000 9
70 3351 2
12440 5529 1
11619 2463 3
108 12577 3
6464 2649 6
943 2854 10
443 5391 1
13736 5984 9
9251 10629 9
1507 2071 10
11645 8493 1
8199 5934 2
4381 8905 7
9974 365 4
6678 6829 3
6675 7772 10
13826 14568 1
13266 13304 6
2197 7555 7
6135 414 10
11074 12060 4
10716 11611 10
7239 992 7
6226 2318 3
2789 8996 2
8354 7023 7
1773 5849 5
583 10468 1
11730 12665 7
3507 3800 3
3706 14875 3
3751 1943 6
9730 9183 9
967 409 7
13921 9550 6
12352 2904 9
1260 4677 9
4736 5261 9
6517 1991 4
853 11850 4
1955 6909 1
6470 10660 5
13947 11743 10
1065 12710 1
11854 2983 1
1639 335 6
4799 7948 5
13809 12684 8
3287 4201 2
5430 11406 2
11374 4714 1
14896 2536 4
5362 1483 7
5011 2549 9
2773 14403 2
3734 7394 9
13951 12193 7
13845 11003 2
10353 14290 3
6556 11073 10
8257 13799 4
8220 13695 10
3843 4058 3
11209 421 4
13989 3195 9
13400 13281 3
4498 12232 9
3545 2429 2
276 4134 4
7560 10690 9
4899 10300 8
13304 3520 6
9245 13715 6
318 1276 7
6643 265 4
12372 13665 5
10494 9515 9
12162 13060 9
1185 4688 5
10851 12249 6
1589 8500 8
6127 13157 10
7064 7402 5
12059 14072 3
2475 5716 8
8791 3088 5
13387 4934 2
216 8449 3
10826 986 3
1922 11837 4
12357 4779 7
9444 2258 4
7755 9322 6
13429 6381 9
11731 208 7
1650 8999 7
11586 13739 3
1038 5307 2
9902 7485 9
8454 9407 8
1960 6765 7
3966 7561 5
4129 317 7
3046 5098 10
1036 8182 9
4742 1184 10
9240 12771 9
3673 5161 6
12906 63 1
8126 14869 1
6536 1829 8
3372 12147 9
8819 1276 8
8587 10675 9
14737 11711 1
6095 7806 5
12804 2046 8
9605 12071 9
11712 1330 4
6305 9456 6
10305 992 5
12422 10717 5
7100 4536 1
14800 4475 6
12598 4212 10
9930 1659 6
8446 14464 2
11086 421 6
3886 12133 6
11750 3438 4
10835 13743 9
3101 11165 6
7515 9618 4
4558 770 9
12275 4720 4
1704 14650 3
13939 14448 7
4573 1886 10
7278 5773 4
2665 8875 2
7508 4710 6
4696 14163 3
3953 13031 1
14098 2589 1
13719 14864 3
2552 1569 3
8044 6860 4
4353 11433 10
1082 10063 3
9945 12728 8
13599 11589 10
996 7637 6
14558 11591 7
14091 2041 6
14393 760 2
4416 3312 3
440 11357 4
10913 7062 9
14625 8144 3
9109 9442 3
12469 8041 4
5538 9037 2
10475 14947 5
7091 14038 6
6296 13432 7
3070 2848 9
1412 3288 8
6615 5554 10
5956 5179 7
360 14288 9
7492 11757 2
2566 8648 9
5277 4123 8
2283 11215 7
9978 8863 9
3434 11933 7
6555 4698 7
6032 2665 1
3924 8621 10
9960 8981 1
1790 7826 8
1661 10392 8
1921 7021 2
2128 9304 9
1374 4282 4
5404 14069 10
12282 5624 8
7449 3008 3
8169 13284 7
5421 8244 8
1961 1386 4
1610 3047 8
9908 11320 1
13681 13449 5
5021 6175 10
5224 11580 1
65 214 5
8252 7663 5
10457 7185 10
6283 3958 6
11090 12271 5
76 13881 2
14453 141 5
12204 5174 4
10610 10195 1
4651 6772 3
12761 6837 8
2847 6442 1
10942 1899 8
8673 8182 6
6000 10624 7
4714 10700 1
12828 1506 4
2262 5062 9
11497 672 6
11907 5324 8
250 3085 8
3807 5933 10
6379 8227 9
1137 8252 3
6204 5604 9
8543 10319 10
9763 14499 8
2476 1761 10
6716 4610 2
6152 1517 8
3711 8119 6
8108 3278 1
10299 9658 10
14389 2147 2
11661 8351 6
10910 1894 7
12211 3009 6
6370 11838 9
14239 9906 9
14132 1058 9
10702 11122 8
10357 10582 7
7297 5882 5
3816 11623 4
14939 14637 5
10314 10547 2
13713 14110 3
10258 11832 1
6269 11071 8
537 1555 8
2675 3609 2
4285 13966 5
2821 12615 9
2367 7783 2
4060 7722 9
5456 9389 8
99 8102 10
12752 9712 2
13594 981 5
9343 7871 3
6151 1898 2
11784 6183 1
6648 356 6
5098 2723 10
172 13135 2
3530 9944 3
140 10043 5
2211 14147 10
9763 12742 3
11089 7085 4
13971 4588 3
11815 1373 8
8625 14373 5
3050 4472 8
11611 4644 6
12895 14526 10
8567 6018 5
3694 8230 3
8533 9345 5
5705 5434 2
2101 10758 1
395 7573 6
4872 7550 9
9706 10600 1
8616 13564 7
5661 11459 6
4002 5026 4
12386 72 4
4918 8605 9
1544 5663 6
5256 14116 4
13556 14511 9
14581 10735 9
6331 5442 1
2554 14058 5
3420 11071 4
1517 6425 3
14281 3811 5
11626 82 3
3317 1626 8
442 6882 4
14677 11790 7
6485 2723 2
12195 9055 6
13505 2961 6
13380 12733 9
1065 14251 4
129 4884 6
14266 1510 8
13360 11179 6
3117 11621 1
13342 2650 3
14430 487 7
4901 12682 4
13519 11188 5
6194 920 8
1293 8337 1
2816 8467 5
14503 7733 8
11272 12445 7
9668 562 1
12650 5256 1
12422 4686 9
6270 939 3
525 14458 1
6389 12005 3
1339 13298 1
1891 7466 8
976 13322 3
14275 9594 8
2401 10614 2
14853 8264 8
14956 5687 4
546 3309 5
13818 3835 4
14631 1576 9
1363 9267 9
11433 11159 7
14970 3487 9
8944 2762 4
363 11515 8
7344 11369 5
4581 11325 4
12856 3223 3
7071 2041 8
7096 1672 5
4126 3036 2
14454 5821 1
8600 12144 10
1069 6088 2
9484 6452 10
13513 5148 9
10807 1082 6
5140 5290 1
2783 12361 2
10612 10809 7
13666 14935 5
2340 5741 6
2172 5694 10
5492 6763 1
2925 7599 5
11874 6112 3
8544 8272 5
7891 13412 6
10461 7547 9
73 3160 1
4061 8178 6
2437 10518 8
282 4043 4
1624 9535 9
406 3812 8
5640 687 10
7374 9231 2
10191 8475 7
3298 3936 4
118 10361 6
7748 14422 7
6666 1859 5
11325 8494 10
6678 1470 5
146 1876 10
1213 13868 7
14744 6242 10
6548 7785 5
3116 11083 4
7231 11202 5
14507 10302 8
6313 1968 9
14989 13293 5
12709 4971 5
11315 11469 3
13734 12682 1
8192 3779 6
3234 1679 1
6750 4795 7
14203 12026 1
2018 2885 3
10607 9198 4
12407 540 9
7702 4601 3
4466 916 2
9459 6003 7
4671 5547 6
12478 8781 7
6719 6884 2
9747 6087 10
8977 14457 6
9861 1416 6
12714 13824 6
11565 12878 9
387 2344 6
678 3155 1
5004 14179 10
4461 11657 2
5597 9728 8
2880 4475 7
12190 4804 5
9385 6018 3
13482 10084 7
3120 6649 7
12358 7036 2
13865 7715 9
6375 4071 10
10785 14885 8
328 11834 6
11755 14715 4
11973 3257 10
5297 3994 8
12742 2476 3
4010 5596 4
8157 2955 1
6000 1820 8
6998 14548 1
13528 1685 6
8067 2013 3
12334 5120 8
6077 2093 7
2329 13743 1
13246 2837 7
10600 6847 4
5956 4 1
1996 6004 3
3455 4355 1
8985 9235 6
5753 2302 1
14355 14636 1
14024 12066 7
1950 14395 2
8870 3993 9
9618 5946 6
963 11902 3
10263 5250 7
12736 57 4
14756 9042 9
9814 6147 1
6884 11854 10
427 10878 8
2415 12828 5
3146 13050 8
13066 7669 6
14833 8632 10
1605 10248 2
734 7984 9
4217 14092 2
8288 8906 1
14660 791 6
5669 7570 4
96 9985 5
270 4483 7
10790 2549 6
3607 2382 1
8327 10340 9
9648 2426 5
2379 12995 7
4152 6283 6
12072 5944 7
1847 2965 9
8853 3062 4
5039 9684 7
14275 5474 8
7533 434 2
9423 8761 2
12913 9761 10
739 12140 6
11305 7644 1
7130 4717 5
10098 12916 1
11988 6769 5
